id,gender,age,lengthofservice,entrymethod,2019 status,eNPS,vision,stability,missioncohe,customer,workload,evaluation,salary,growth,boss,colleagues,pa,home.store,jobmeaning,wellfare,clean,culture,influence,reputation,workingtime,promotesalary,autonomy,training,facilities,uniform
1100061,1,45,11,Old,Stay,4,4,1,4,4,1,4,1,4,4,4,4,4,5,4,4,5,5,5,3,1,3,3,4,4
1100062,2,46,11,Old,Stay,7,7,3,6,6,2,6,3,4,5,7,6,4,6,3,4,6,4,7,2,5,2,2,2,6
1100063,1,45,11,Old,Stay,2,4,3,4,4,2,4,1,5,4,5,4,3,3,2,4,4,3,5,2,4,4,3,2,4
1100064,2,45,11,Old,Stay,3,6,3,6,7,2,4,3,5,4,6,7,4,6,2,5,4,5,6,2,4,6,4,2,4
1100065,1,38,11,Old,Stay,3,6,4,5,5,2,4,2,5,5,5,4,4,4,2,3,6,5,5,1,2,4,6,3,5
1100066,2,43,11,Old,Stay,3,5,3,3,6,1,6,1,3,4,5,2,4,6,1,3,6,6,7,1,1,2,1,1,6
1100068,1,38,11,Old,Stay,2,4,2,4,4,3,2,1,4,4,4,4,4,4,1,4,3,4,4,3,1,2,4,1,4
1100069,2,49,11,Old,Stay,4,2,2,4,2,4,3,3,5,4,4,4,4,4,2,4,4,3,4,4,3,5,2,3,4
1100070,1,35,11,Old,Stay,5,4,3,4,3,4,4,3,4,4,4,4,4,4,3,4,3,5,6,4,4,4,4,3,4
1100071,2,35,11,Old,Stay,7,6,5,5,5,5,5,2,5,6,6,5,4,5,3,3,5,5,4,4,3,4,4,3,4
1100072,1,44,11,Old,Stay,3,2,1,4,4,3,3,2,4,4,4,4,2,4,1,4,4,4,4,1,2,2,4,1,4
1100074,1,40,11,Old,Stay,5,4,5,4,4,4,4,4,3,4,4,3,3,4,4,4,3,4,5,5,4,4,3,3,4
1100075,1,42,11,Old,Stay,1,4,2,4,6,2,4,2,2,5,4,4,4,4,1,4,4,4,4,3,2,4,4,4,4
1100076,2,33,11,Old,Stay,2,6,2,3,4,2,3,2,3,2,6,4,3,6,3,4,3,6,6,2,3,6,4,3,4
1100077,1,43,11,Old,Stay,6,6,3,4,5,4,4,2,4,4,5,4,5,6,1,4,4,4,6,4,3,4,4,4,4
